Model,Technique,IFR
Qwen2.5-7B,MEMIT,0.297
Qwen2.5-7B,MEMIT,0.392
Qwen2.5-7B,MEMIT,0.458
Qwen2.5-7B,MEMIT,0.323
Qwen2.5-7B,MEMIT,0.339
Qwen2.5-7B,MEMIT-rect,0.387
Qwen2.5-7B,MEMIT-rect,0.492
Qwen2.5-7B,MEMIT-rect,0.558
Qwen2.5-7B,MEMIT-rect,0.52
Qwen2.5-7B,MEMIT-rect,0.486
Qwen2.5-7B,MEMIT-prune,0.316
Qwen2.5-7B,MEMIT-prune,0.32
Qwen2.5-7B,MEMIT-prune,0.442
Qwen2.5-7B,MEMIT-prune,0.445
Qwen2.5-7B,MEMIT-prune,0.419
Qwen2.5-7B,ROME,0.198
Qwen2.5-7B,ROME,0.237
Qwen2.5-7B,ROME,0.312
Qwen2.5-7B,ROME,0.221
Qwen2.5-7B,ROME,0.224
Qwen2.5-7B,AlphaEdit,0.285
Qwen2.5-7B,AlphaEdit,0.315
Qwen2.5-7B,AlphaEdit,0.512
Qwen2.5-7B,AlphaEdit,0.313
Qwen2.5-7B,AlphaEdit,0.269
Llama-3-8B,MEMIT,0.615
Llama-3-8B,MEMIT,0.867
Llama-3-8B,MEMIT,0.814
Llama-3-8B,MEMIT,0.767
Llama-3-8B,MEMIT,0.629
Llama-3-8B,MEMIT-rect,0.615
Llama-3-8B,MEMIT-rect,0.897
Llama-3-8B,MEMIT-rect,0.9253
Llama-3-8B,MEMIT-rect,0.8754
Llama-3-8B,MEMIT-rect,0.8253
Llama-3-8B,ROME,0.081
Llama-3-8B,ROME,0.35
Llama-3-8B,ROME,0.167
Llama-3-8B,ROME,0.187
Llama-3-8B,ROME,0.219
Llama-3-8B,MEMIT-prune,0.111
Llama-3-8B,MEMIT-prune,0.434
Llama-3-8B,MEMIT-prune,0.363
Llama-3-8B,MEMIT-prune,0.17
Llama-3-8B,MEMIT-prune,0.183
Llama-3-8B,AlphaEdit,0.342
Llama-3-8B,AlphaEdit,0.604
Llama-3-8B,AlphaEdit,0.683
Llama-3-8B,AlphaEdit,0.781
Llama-3-8B,AlphaEdit,0.478
GPT2-XL,MEMIT,0.433
GPT2-XL,MEMIT,0.903
GPT2-XL,MEMIT,0.714
GPT2-XL,MEMIT,0.671
GPT2-XL,MEMIT,0.419
GPT2-XL,MEMIT-rect,0.667
GPT2-XL,MEMIT-rect,0.752
GPT2-XL,MEMIT-rect,0.829
GPT2-XL,MEMIT-rect,0.6857
GPT2-XL,MEMIT-rect,0.581
GPT2-XL,MEMIT-prune,0.311
GPT2-XL,MEMIT-prune,0.28
GPT2-XL,MEMIT-prune,0.248
GPT2-XL,MEMIT-prune,0.232
GPT2-XL,MEMIT-prune,0.201
GPT2-XL,ROME,0.233
GPT2-XL,ROME,0.25
GPT2-XL,ROME,0.282
GPT2-XL,ROME,0.301
GPT2-XL,ROME,0.272
GPT2-XL,AlphaEdit,0.433
GPT2-XL,AlphaEdit,0.773
GPT2-XL,AlphaEdit,0.824
GPT2-XL,AlphaEdit,0.651
GPT2-XL,AlphaEdit,0.442
